# synthetic_train.txt
# five predictors, target
#
4666,8400,62
3369,9035,72
3257,8843,63
9358,6852,26
197,998,30
3462,85,35
4898,9519,114
9961,1521,146
9096,6536,50
3659,5347,96
3457,2486,127
3574,7328,99
7552,5436,10
3733,6901,143
7143,1206,11
6306,1768,52
3985,7779,46
6596,728,110
2439,2505,135
9518,6137,44
1522,6251,78
5960,7339,55
2207,4288,96
4035,7931,69
9464,391,70
4312,6929,54
9535,4697,115
7486,5299,63
558,2441,80
698,8659,95
8474,8557,65
1154,6980,143
6709,8661,19
9970,7674,142
5620,2452,84
3862,1433,58
8589,5967,78
365,3634,114
8121,5857,137
7421,1254,52
401,1118,146
4551,6621,89
8596,9982,83
6306,3482,149
2083,807,141
121,5893,140
3405,270,71
3505,9479,91
585,7631,58
3748,1035,58
3010,9173,146
117,4638,51
3683,24,13
5310,6095,148
4304,5247,103
5905,8870,129
1600,5125,133
5666,4792,97
7210,1588,137
2766,4776,75
4679,8680,111
7889,5906,61
5953,6297,133
2866,2993,53
3944,9739,41
7400,1590,56
3364,8403,137
9328,7623,106
3371,3669,85
3584,3160,119
9704,8138,65
1027,2651,110
3726,9012,38
7226,9929,83
155,8463,105
535,3615,105
6879,5743,24
5628,6246,109
142,7752,35
1418,4849,91
8270,1119,74
6467,5055,85
9283,4535,11
2385,6633,103
1248,7160,75
1474,7298,94
9849,1217,35
2796,7871,17
7755,3857,48
7963,9291,22
8572,4252,17
6269,5356,38
8744,2666,27
1936,9023,122
9512,9452,108
2663,1172,145
8835,2794,147
1088,9138,37
7515,4934,58
3442,6387,70
