995,8515,34
6875,3431,65
3289,3202,113
9922,9375,133
7399,9738,87
4297,7376,51
6126,8885,126
2702,5962,91
2667,3305,17
2485,9650,125
303,9113,97
1030,9612,42
4248,9352,134
6449,9299,127
5408,57,118
1073,3495,29
3865,8603,105
732,5483,36
8445,6524,12
8040,2241,88
6018,9799,53
2371,6738,140
1269,3447,92
2927,3420,25
8459,5386,131
7627,1015,146
319,5528,33
1053,7883,72
1122,78,86
4472,1224,138
627,1624,132
6776,5642,127
6387,7172,50
8236,6550,80
4184,1570,43
2266,4470,14
3447,7263,95
3207,3228,140
4398,9019,118
8645,6022,145
3744,9403,11
3967,3695,85
1147,3432,67
2896,8644,147
3899,3964,100
2452,5188,65
2047,5084,78
7778,5674,147
3403,4545,30
6593,74,14
5155,9729,97
1804,1137,106
7104,1942,40
1442,8969,122
3372,4213,13
660,7667,19
1469,3839,127
9260,905,59
2582,7922,43
9904,3422,104
4035,1564,60
3301,1900,140
8733,494,104
2989,606,40
8054,1881,146
4819,2587,106
368,4084,136
1010,1773,46
226,4152,69
3239,867,48
6946,1398,29
6692,223,35
5774,9809,71
8816,3708,107
3449,297,49
638,7940,73
9102,8442,51
4863,432,70
514,416,31
9401,816,86
4252,6394,53
1789,9709,47
7879,3284,123
2010,215,97
9908,833,80
1475,2149,30
4080,6584,51
946,4227,29
1944,9882,136
4481,6936,40
2837,9474,142
326,605,129
6699,8297,47
1268,2131,99
9332,8971,132
5818,9667,28
6297,7300,112
1149,8534,112
8803,8363,12
1770,4532,135
2325,9460,10
5818,7160,126
8935,2339,85
5548,5669,112
2176,7223,52
8096,5438,142
1587,9721,41
534,3620,51
8825,5503,110
3703,1834,122
5300,6033,22
8242,4442,78
5609,1783,95
4414,134,36
8321,1822,24
4677,2230,22
8498,688,145
5228,1217,49
270,5628,88
4671,4865,143
1751,169,87
3584,2348,28
9973,6411,136
1257,7215,19
6038,2252,133
4689,104,108
1922,3038,76
8973,7278,69
4687,996,94
4717,4100,111
316,2303,80
6551,5266,39
3227,8661,18
9093,7574,94
5412,7594,98
9287,6752,83
9691,9089,123
7752,5711,54
3613,2602,53
1083,6992,81
9119,4979,99
9559,9891,120
8358,1032,53
1009,6285,95
2743,3260,147
5997,9670,47
8423,6781,139
6380,9030,115
1817,6846,31
3850,6698,76
3613,6524,91
5692,3276,16
6208,1798,126
5090,2321,108
4040,7713,124
5102,9935,70
2225,7664,42
842,3999,90
2365,4958,54
3626,6504,141
4778,8358,48
3871,8111,81
1229,4694,65
6530,550,149
8346,1359,52
3212,4561,140
7413,340,64
4570,2505,42
545,5204,53
2049,938,108
3190,5170,99
7474,604,131
1445,8917,63
8917,7995,67
1640,1077,113
1512,1289,142
8623,9435,89
3147,7493,117
3693,7626,138
3722,7583,55
9854,9391,48
2059,3311,142
5163,4566,99
7124,4729,33
4488,4644,42
450,7756,120
2876,9064,59
4791,5921,97
4609,9328,143
9692,7064,121
9220,8153,140
2301,947,113
240,7352,113
3712,3598,117
4000,532,84
4735,6670,39
3735,9635,105
3132,848,70
8809,571,49
1555,6039,50
3950,2283,20
5846,3334,96
6549,3263,25
3026,8639,86
5321,9875,87
5808,9637,67
4942,739,101
3037,3177,72
5300,9611,14
7014,4790,117
5803,8671,80
6154,1637,13
7517,3836,147
5533,6812,148
4024,5733,76
3760,8197,53
7346,2980,148
